municipio,sigla_municipio,prefeito_eleito_2024,sigla_partido_prefeito_eleito,porcentagem_votos_validos_2024,emendas_pix_per_capita_partido_prefeito_eleito,idhm_2010,alfabetizacao_2010,pib_per_capita_2021,densidade_demografica_2010
ABADIA DE GOIAS - GO,GO,WANDER SARAIVA,PP,1.0,18716.018402342117,0.708,92.19,18491.217063989963,133.39799737437687
ABADIA DOS DOURADOS - MG,MG,CIRO,PSD,0.5759918616480163,3188.7755102040815,0.689,90.88,28184.630102040817,7.127400247351568
ABADIANIA - GO,GO,DR ITAMAR,PP,0.6195040015808715,3481.8941504178274,0.689,89.16,25842.85051067781,16.50935116913498
ABAETE - MG,MG,IVANIR,MDB,0.49182601080134286,1764.0573318632855,0.698,91.28,23869.41565600882,12.47983026005562
ABAETETUBA - PA,PA,FRANCINETI CARVALHO,MDB,0.4172008704814235,2528.605203934559,0.628,86.28999999999999,12322.938528839102,98.22878551140263
ABAIARA - CE,CE,ANGIM,PT,0.521203830369357,0.0,0.628,70.6,11752.440725244072,55.5194969507372
ABAIRA - BA,BA,DR WELLINGTON,PSD,0.5095595766473199,0.0,0.603,80.55,9614.436378578275,13.55771620992271
ABARE - BA,BA,EMANOEL DA FARMÁCIA,PT,0.8237688562534919,21543.171381597596,0.575,73.15,11823.686150008503,10.988425366564242
ABATIA - PR,PR,SÔNIA CHAVES,UNIÃO,0.49188619599578504,0.0,0.687,83.24,30635.823781245683,27.73610071914887
ABDON BATISTA - SC,SC,LUCIMAR,MDB,0.5167424555601489,34642.03233256351,0.694,90.27,28916.089299461124,10.943737406220103
ABEL FIGUEIREDO - PA,PA,MARCONE LACERDA,UNIÃO,0.5555555555555556,0.0,0.622,82.24,17192.959582790092,9.97719783960626
ABELARDO LUZ - SC,SC,SANTIN,MDB,0.5243175400062755,6899.724011039559,0.696,88.95,45183.99264029439,18.23902731946579
ABRE CAMPO - MG,MG,MARCINHO VICTOR,PSDB,0.6008073082642872,3590.148632153371,0.654,87.73,18861.70747468945,29.60320246325809
ABREU E LIMA - PE,PE,FLAVIO GADELHA,PSB,0.6880541099489753,1523.4303589201925,0.679,89.85,17511.913225406755,780.5094827438538
ABREULANDIA - TO,TO,MANOEL MOURA,PT,1.0,62111.801242236026,0.665,86.62,43530.66770186336,1.3509422061037906
ACAIACA - MG,MG,LUIZÃO,AVANTE,0.5112830431979368,0.0,0.63,86.06,16604.502430289078,38.35987458109651
ACAILANDIA - MA,MA,DR BENJAMIM,UNIÃO,0.4304840877060732,0.0,0.672,82.31,35934.115438761146,18.35684716215172
ACAJUTIBA - BA,BA,JADIEL SOUZA,MDB,0.619062565390249,0.0,0.582,77.69,10476.911924610366,75.97531968793585
ACARA - PA,PA,PEDRINHO DA BALSA,MDB,0.7512332453037023,0.0,0.506,78.69,24286.12574758992,13.584743815358692
ACARAPE - CE,CE,EDILBERTO  BESERRA,PSB,0.6459273975076756,0.0,0.606,78.23,12831.96692093819,107.78614349239002
ACARAU - CE,CE,ANA FLÁVIA,PSB,0.66369803873196,0.0,0.601,71.17,15631.910394704584,77.35726806834609
ACARI - RN,RN,FERNANDO,PODE,1.0,0.0,0.679,82.19,13399.452675285458,17.41586393988748
ACAUA - PI,PI,MOLÃO,PSD,0.8257305773342837,3894.080996884735,0.528,69.59,11458.09968847352,5.015169748534801
ACEGUA - RS,RS,MARCUS PETI,PSDB,0.8476887263052877,3597.122302158273,0.687,93.6,109885.85131894484,2.6894312105068168
ACOPIARA - CE,CE,DR VILMAR,PSB,0.5494233937397035,0.0,0.595,67.13,12555.491303767623,19.95033392334263
