"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2021";"Emenda Individual - Transferências Especiais";"JULIO CESAR";"0003";"SÃO MIGUEL DO TAPUIO - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202112460003";"75.000,00";"75.000,00";"75.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0003";"PINHEIRAL - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750003";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2022";"Emenda Individual - Transferências Especiais";"JEFFERSON CAMPOS";"0020";"ÁGUAS DE SÃO PEDRO - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202215810020";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2021";"Emenda Individual - Transferências Especiais";"LUIZ CARLOS";"0011";"ITAUBAL - AP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202126740011";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"RUI FALCAO";"0016";"ELISEU MARTINS - PI";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202190320016";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"MARCIO ALVINO";"0006";"ITAÓCA - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202237170006";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"FABIO RAMALHO";"0014";"ARAÇUAÍ - MG";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202323680014";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"EDILAZIO JUNIOR";"0008";"CODÓ - MA";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239680008";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERTA ROMA";"0001";"DIAS D'ÁVILA - BA";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444620001";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0005";"PATY DO ALFERES - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202140750005";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"ZENAIDE MAIA";"0018";"SÃO GONÇALO DO AMARANTE - RN";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202140910018";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0024";"TRÊS RIOS - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202140750024";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0010";"SAPUCAIA - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202140750010";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"GENERAL PETERNELLI";"0016";"ITAPIRA - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339950016";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0007";"SÃO CAETANO DE ODIVELAS - PA";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202236920007";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"PASTOR DINIZ";"0012";"RORAIMA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444410012";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"AGUINALDO RIBEIRO";"0004";"PARAÍBA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202127110004";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"SUBTENENTE GONZAGA";"0004";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202229940004";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2021";"Emenda Individual - Transferências Especiais";"TADEU ALENCAR";"0015";"PERNAMBUCO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202137670015";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERIO MONTEIRO";"0017";"MORADA NOVA - CE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202491620017";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"SERGIO PETECAO";"0008";"CRUZEIRO DO SUL - AC";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202329140008";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2021";"Emenda Individual - Transferências Especiais";"GENERAL PETERNELLI";"0011";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202139950011";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0023";"PATY DO ALFERES - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750023";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2021";"Emenda Individual - Transferências Especiais";"CEZINHA DE MADUREIRA";"0001";"BROTAS - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202139380001";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
