Territorialidades,Taxa de Educacao 2010
Brasil,90.39
Abadia de Goiás (GO),92.19
Abadia dos Dourados (MG),90.88
Abadiânia (GO),89.16
Abaeté (MG),91.28
Abaetetuba (PA),86.29
Abaiara (CE),70.6
Abaíra (BA),80.55
Abaré (BA),73.15
Abatiá (PR),83.24
Abdon Batista (SC),90.27
Abelardo Luz (SC),88.95
Abel Figueiredo (PA),82.24
Abre Campo (MG),87.73
Abreu E Lima (PE),89.85
Abreulândia (TO),86.62
Acaiaca (MG),86.06
Açailândia (MA),82.31
Acajutiba (BA),77.69
Acará (PA),78.69
Acarape (CE),78.23
Acaraú (CE),71.17
Acari (RN),82.19
Acauã (PI),69.59
Aceguá (RS),93.6
Acopiara (CE),67.13
Acorizal (MT),76.42
Acrelândia (AC),84.36
Acreúna (GO),85.43
Açucena (MG),80.19
Açu (RN),77.52
Adamantina (SP),93.86
Adelândia (GO),85.35
Adolfo (SP),91.87
Adrianópolis (PR),83.18
Adustina (BA),64.47
Afogados da Ingazeira (PE),76.88
Afonso Bezerra (RN),69.32
Afonso Cláudio (ES),85.7
Afonso Cunha (MA),65.36
Afrânio (PE),74.22
Afuá (PA),71.12
Agrestina (PE),67.65
Agricolândia (PI),72.53
Agrolândia (SC),94.89
Agronômica (SC),94.42
Água Azul do Norte (PA),88.23
Água Boa (MG),72.58
Água Boa (MT),92.31
Água Branca (AL),69.08
Água Branca (PB),73.64
Água Branca (PI),75.86
Água Clara (MS),91.02
Água Comprida (MG),92.1
Água Doce do Maranhão (MA),63.97
Água Doce do Norte (ES),80.0
Água Doce (SC),92.8
Água Fria (BA),72.74
Água Fria de Goiás (GO),85.14
Aguaí (SP),92.27
Água Limpa (GO),89.87
Aguanil (MG),86.79
Água Nova (RN),77.34
Água Preta (PE),69.34
Água Santa (RS),94.58
Águas Belas (PE),59.77
Águas da Prata (SP),93.96
Águas de Chapecó (SC),93.6
Águas de Lindóia (SP),94.04
Águas de Santa Bárbara (SP),94.84
Águas de São Pedro (SP),98.55
Águas Formosas (MG),75.6
Águas Frias (SC),90.91
Águas Lindas de Goiás (GO),92.99
Águas Mornas (SC),94.16
Águas Vermelhas (MG),72.43
Agudo (RS),93.22
Agudos do Sul (PR),91.16
Agudos (SP),94.79
Águia Branca (ES),85.17
Aguiarnópolis (TO),82.85
Aguiar (PB),62.35
Aimorés (MG),85.51
Aiquara (BA),76.24
Aiuaba (CE),65.86
Aiuruoca (MG),85.93
Ajuricaba (RS),94.86
Alagoa Grande (PB),65.3
Alagoa (MG),85.56
Alagoa Nova (PB),71.46
Alagoinha do Piauí (PI),55.6
Alagoinha (PB),64.71
Alagoinha (PE),73.38
Alagoinhas (BA),89.89
Alambari (SP),93.41
Albertina (MG),88.06
Alcântara (MA),77.56
Alcântaras (CE),70.89
Alcantil (PB),69.4
Alcinópolis (MS),88.96
Alcobaça (BA),76.41
Aldeias Altas (MA),62.32
Alecrim (RS),92.14
Alegre (ES),86.46
Alegrete do Piauí (PI),64.74
Alegrete (RS),94.08
Alegria (RS),89.98
Além Paraíba (MG),93.64
Alenquer (PA),84.4
Alexandria (RN),66.58
Alexânia (GO),88.27
Alfenas (MG),94.23
Alfredo Chaves (ES),92.11
Alfredo Marcondes (SP),89.87
Alfredo Vasconcelos (MG),90.06
Alfredo Wagner (SC),90.6
Algodão de Jandaíra (PB),67.32
Alhandra (PB),73.73
Aliança do Tocantins (TO),85.56
Aliança (PE),72.78
Almadina (BA),68.18
Almas (TO),78.28
Almeirim (PA),86.27
Almenara (MG),78.2
Almino Afonso (RN),74.95
Almirante Tamandaré do Sul (RS),95.73
Almirante Tamandaré (PR),93.94
Aloândia (GO),85.07
Alpercata (MG),83.87
Alpestre (RS),87.27
Alpinópolis (MG),92.31
Alta Floresta D'Oeste (RO),88.01
Alta Floresta (MT),91.12
Altair (SP),89.8
Altamira do Maranhão (MA),67.02
Altamira do Paraná (PR),82.43
Altamira (PA),87.55
Altaneira (CE),68.17
Alterosa (MG),89.6
Altinho (PE),65.37
Altinópolis (SP),93.92
Alto Alegre do Maranhão (MA),70.72
Alto Alegre do Pindaré (MA),67.75
Alto Alegre dos Parecis (RO),86.47
Alto Alegre (RR),59.94
Alto Alegre (RS),92.64
Alto Alegre (SP),91.44
Alto Araguaia (MT),91.36
Alto Bela Vista (SC),95.96
Alto Boa Vista (MT),88.49
