Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,População total 2018,População total 2019,População total 2020,População total 2021,População total 2013_1
Brasil,0.727,0.739,0.816,0.637,9.61,207853293,209496463,211096453,212650323,201032714
Abadia de Goiás (GO),0.708,0.687,0.83,0.622,7.81,7567,7733,7895,8053,8207
Abadia dos Dourados (MG),0.689,0.693,0.839,0.563,9.12,6967,6992,7015,7037,7059
Abadiânia (GO),0.689,0.671,0.841,0.579,10.84,17326,17701,18069,18427,18775
Abaeté (MG),0.698,0.72,0.848,0.556,8.72,23451,23494,23535,23574,23611
Abaetetuba (PA),0.628,0.579,0.798,0.537,13.71,147267,148873,150431,151934,153380
Abaiara (CE),0.628,0.54,0.748,0.612,29.4,11089,11226,11357,11483,11605
Abaíra (BA),0.603,0.577,0.746,0.51,19.45,9132,9243,9226,9212,9199
Abaré (BA),0.575,0.533,0.776,0.46,26.85,18989,19290,19574,19939,20189
Abatiá (PR),0.687,0.676,0.804,0.596,16.76,7881,7852,7823,7795,7768
Abdon Batista (SC),0.694,0.66,0.812,0.625,9.73,2656,2643,2630,2617,2604
Abelardo Luz (SC),0.696,0.684,0.852,0.578,11.05,17584,17651,17717,17782,17847
Abel Figueiredo (PA),0.622,0.625,0.8,0.481,17.76,7013,7070,7126,7179,7231
Abre Campo (MG),0.654,0.646,0.823,0.525,12.27,13703,13711,13719,13726,13733
Abreu E Lima (PE),0.679,0.625,0.791,0.632,10.15,97786,98201,98602,98990,99364
Abreulândia (TO),0.665,0.7,0.835,0.502,13.38,2506,2523,2539,2555,2571
Acaiaca (MG),0.63,0.61,0.823,0.499,13.94,4045,4050,4056,4061,4065
Açailândia (MA),0.672,0.643,0.785,0.602,17.69,107790,108765,109685,110543,111339
Acajutiba (BA),0.582,0.56,0.723,0.487,22.31,15615,15668,15717,15764,15727
