NR_TURNO,SG_UF,SG_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,DS_SIT_TOT_TURNO
1,PI,12203,JÚLIO BORGES,88,Prefeito,MARCO LEANDRO CASTRO DE CARVALHO,LÉO CARVALHO,SOLIDARIEDADE,Solidariedade,SOLIDARIEDADE,1357,1357,NÃO ELEITO
1,SP,63614,COTIA,286,Prefeito,FERNANDO DA SILVA BREVIGLIERI,FERNANDO CONFIANCA,NOVO,Partido Novo,NOVO,370,370,NÃO ELEITO
1,SP,63614,COTIA,227,Prefeito,FERNANDO DA SILVA BREVIGLIERI,FERNANDO CONFIANCA,NOVO,Partido Novo,NOVO,2356,2356,NÃO ELEITO
1,MG,53759,TIRADENTES,328,Prefeito,LUIZ ANTÔNIO CHAVES DE RESENDE,LUIZ DA FARMÁCIA,PT,Partido dos Trabalhadores,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV),363,363,NÃO ELEITO
1,RJ,58530,MARICÁ,55,Prefeito,MARCIA GONÇALVES SANTIAGO COELHO,MARCIA SANTIAGO,PMB,Partido da Mulher Brasileira,PMB,1984,1984,NÃO ELEITO
1,PR,79952,NOVA PRATA DO IGUAÇU,162,Prefeito,DEOCLECIO ACHRE,CHALÉ,MOBILIZA,Mobilização Nacional,MOBILIZA,38,38,NÃO ELEITO
1,SP,68870,PIRASSUNUNGA,96,Prefeito,JOSE CARLOS MANTOVANI,DR MANTOVANI,UNIÃO,União Brasil,UNIÃO,848,848,NÃO ELEITO
1,RS,87505,PRESIDENTE LUCENA,118,Prefeito,AIRTON MICHEL,AIRTON MICHEL,MDB,Movimento Democrático Brasileiro,MDB,1028,1028,NÃO ELEITO
1,SC,81051,FLORIANÓPOLIS,13,Prefeito,MATEUS SOUZA,MATEUS SOUZA,PMB,Partido da Mulher Brasileira,PMB,25,25,NÃO ELEITO
1,SC,81051,FLORIANÓPOLIS,100,Prefeito,MATEUS SOUZA,MATEUS SOUZA,PMB,Partido da Mulher Brasileira,PMB,30,30,NÃO ELEITO
1,SC,81051,FLORIANÓPOLIS,12,Prefeito,MATEUS SOUZA,MATEUS SOUZA,PMB,Partido da Mulher Brasileira,PMB,39,39,NÃO ELEITO
